time,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,30,30,30,30,30,30,30,30,90,90,90,90,90,90,90,90,90,90,90,90,180,180,180,180,180,180,180,180
level,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW
BC040071,-0.334108,0.075932,0.434032,0.239282,0.238302,0.067292,0.382432,-0.084948,0.461672,-0.201408,0.201032,0.247982,-0.013488,0.071602,-0.468548,0.046172,-0.041928,-0.197398,-0.106988,-0.003058,0.041952,0.023412,0.582832,-0.172858,0.443862,-0.094858,-0.343608,0.514102,0.056912,0.097952,0.001782,0.171562,-0.082988,0.419692,0.038762,0.253412,-0.062048,0.007812,-0.104628,0.076522,-0.071598,0.257922,-0.046758,0.234532,-0.108198,1.009406146,0.177987364,0.251628185,0.153426939,1.162573793,-0.016032104,0.384745373,-0.61324984,-0.284800412,0.49470098,0.486492291,0.726993746,0.552341711,0.032881962,0.142146922,1.344068104,-0.053542293,1.573469248,0.527486672,0.291570809,-0.504150425,-0.25163989,-0.000335081,0.167050098,0.400581875,0.042436722,0.7409598,-0.231368716
NM_000038,0.075256,-0.417384,-0.880384,0.181086,-0.033804,-0.230904,0.598626,-0.067304,-0.011204,-0.200374,0.071756,0.188856,-0.080864,0.082576,0.286306,0.314786,-0.603834,-0.224844,0.158876,-0.157894,-0.597384,-0.119484,0.264206,-0.133824,0.019286,-0.989344,-0.663734,-0.407754,-0.427984,-0.252924,-0.407964,-0.544624,-0.408734,-0.390974,-0.288584,-0.403944,0.087636,0.267916,-0.654784,-0.264534,-0.512294,0.021886,-0.281854,-0.472364,-0.527804,1.015689307,0.319345454,0.312793788,0.214649192,1.12685059,0.041531236,0.423139668,-0.513525742,-0.198855501,0.541838753,0.621451661,1.020362508,0.326934381,-0.002290341,0.249583482,1.398425681,-0.043987604,1.610264312,0.609251313,-0.288415765,-0.463418718,-0.130945708,0.101531268,0.106618355,0.412428988,0.144838107,0.74706402,-0.322965805
AC012181,0.076582,0.938922,0.292702,-0.620078,0.341032,0.425342,-0.079258,-0.106598,1.434732,-0.380848,-0.105648,-0.482318,-0.375858,-0.073968,0.333252,0.059362,-0.352688,0.212282,-0.046208,-0.142258,-1.194198,0.217162,-0.181108,-0.421508,-0.524808,1.685412,0.489572,1.716762,-0.615218,-0.323528,-0.191348,1.097972,-0.338208,0.252702,-0.588328,0.598952,0.066812,0.011262,0.403242,-0.091198,-0.151268,0.030132,-0.616578,-0.158748,-1.059568,0.457461317,0.536962183,0.633478218,0.553437395,0.472467511,0.554217138,0.410702378,0.257968279,0.835305374,0.935322435,1.026561379,0.873379724,0.835007587,1.015797134,1.089962695,0.995708568,1.015536765,0.848656258,0.897765586,0.699779398,0.666976926,1.031531062,0.841864651,1.036912819,0.422977839,0.826042002,0.883465115,0.923066289
NM_000088,0.4124,-0.2594,-0.3473,0.1596,-0.297,-0.3053,-0.8285,-0.6996,-1.4109,0.0644,0.596,-0.5883,-0.677,-0.496,-1.3892,0.0758,-2.10551,-1.7757,-0.6887,-0.2894,0.4123,-1.489,-0.6318,-0.9209,0.0887,-2.30315,-2.13431,-1.97494,-1.94953,-1.6601,-1.7052,-2.36764,-2.14767,-1.7473,-1.4505,-1.7396,-1.7601,-0.913,0.0959,-1.3035,-1.2881,-0.9138,-0.7799,0.2994,-0.6406,0.626737726,1.361861943,1.275726969,0.475988282,1.307597933,1.555888551,1.327806468,1.179130377,-0.093099494,-0.568023324,-0.563363852,-0.380139737,-0.186275554,-0.509646922,0.336214149,0.494181519,-0.362860738,-0.286434127,-0.359910533,-0.196917305,-1.100757147,-1.411865613,-0.107990804,-1.301597135,-0.299371402,-0.9300291,-1.177578021,-1.283413793
BC028178,-0.59538,-0.24288,-0.99398,-0.10598,-0.86188,-0.25668,-1.04778,-2.09978,-3.09458,-2.11418,-1.25028,-2.44779,-1.67698,-2.39486,-2.00248,-2.34128,-0.07278,-0.02518,-0.65578,-0.13928,-0.24438,-0.06538,-0.84988,-0.42748,-1.16198,-0.99428,-0.24288,-2.02168,-0.10708,-0.39908,-0.03568,-0.82898,-0.21608,-0.89558,-0.08988,-1.24808,-0.03578,-0.30458,0.11462,0.01242,-0.04368,-0.30508,-0.15568,0.00772,0.31262,0.492819587,1.334317726,0.692017462,0.061860957,0.729495548,0.987711248,0.684886107,0.468322443,-0.680720128,-0.648402961,-0.80879766,-0.360905288,-0.489377802,-0.677820691,-0.627024197,-0.337130914,-0.796578416,-0.516903039,-0.685835679,-0.551295349,-1.08082056,-1.582830031,-0.103578843,-1.140009136,-1.096031795,-1.126807197,-1.148304517,-1.210002148
AC097662,0.194254,-0.360606,0.005354,0.026254,0.173214,-0.036306,-0.030826,0.412674,-0.205376,0.164634,0.135904,0.792444,0.442114,0.789944,-0.011396,0.299034,0.318994,0.070044,0.407824,0.430874,0.667894,0.077494,0.147384,0.291844,0.387084,-0.425946,-0.115396,-0.246606,0.117524,0.223394,0.080084,-0.194576,0.069584,0.013874,0.029854,-0.073666,0.187054,-0.205846,0.249024,0.106614,0.286734,0.070674,0.650814,0.610004,0.359954,-1.31359658,-0.687119687,-1.082650317,-1.122829469,-0.680233558,-1.771390621,-0.885956726,-1.611761566,0.920209126,-0.972771426,0.3177743,1.254225365,1.217321422,-0.351298414,-0.885502279,-1.220622436,0.100612216,1.320166992,1.203405207,-0.49915173,0.089882797,-0.266072746,-1.435617087,0.344632477,0.49879201,0.185309261,-0.972085479,-0.506205922
NM_000092,-0.207948,-0.465758,-0.295318,-0.395648,0.001042,-0.001668,-0.279328,-0.390068,-0.512218,-0.832468,-0.656268,-0.846588,-0.419768,0.219322,-0.852678,-0.692438,-0.621898,-0.628278,-0.366268,-0.335288,-0.375028,-0.428318,-0.605488,-0.266008,-0.402368,-0.378078,-0.107278,-0.181818,-0.290838,-0.399458,-0.539508,-0.431948,-0.496738,-0.238408,-0.952918,-0.257248,-0.102378,-0.175918,-0.085458,-0.340838,-0.178318,0.003192,0.007652,-0.093708,0.020722,1.148352826,0.474306869,0.322319916,0.219029153,1.308713595,-0.034136039,0.459053718,-0.541295272,-0.275556265,0.38258433,0.542751018,0.885186804,0.224072312,0.077088927,0.116384187,1.229231299,-0.088794204,1.532636621,0.560293145,0.414004498,-0.408802514,-0.238806171,-0.039235903,-0.117412099,0.265309972,-0.009563038,0.877212581,-0.269647714
NM_000096,0.389926,-0.102474,0.099246,-0.105754,-0.065664,-0.020574,-0.216264,-0.327574,0.251816,0.219096,-0.142064,0.358116,-0.241244,0.125656,0.706906,-0.202274,-0.294514,-0.419134,0.125346,0.462666,-0.220564,-0.049024,0.485596,-0.290504,0.240666,-0.273614,-0.467804,0.470386,-0.225994,-0.282514,-0.124274,-0.126074,-0.234524,-0.237684,-0.282834,-0.335624,-0.164314,-0.390224,-0.465534,0.046736,-0.865484,-0.330694,-0.270344,-0.344984,0.025556,2.405211188,2.022857398,2.31836404,4.100148022,2.045104826,1.802755703,1.599065813,2.858326923,3.469267065,2.588793093,3.137656238,2.921768457,2.992422937,2.421513789,2.630557135,2.823553954,3.242452041,3.523765025,3.42556446,3.554683946,3.418914633,3.100537113,2.471717318,3.608885402,3.462503039,3.188239922,3.494384016,3.547323824
